date,store_id,sku_id,category,temperature,is_weekend,quantity,day_of_week,week_of_year,month,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,baseline_7d,prediction_model,prediction_baseline_7d,critical_ratio,forecast_error_rmse,recommended_order,expected_leftover,expected_stockout
2024-06-08,1,SKU_001,ultra_fresh,26.6,1,35,5,23,6,34.0,31.0,27.0,32.857142857142854,8.725987459471678,32.857142857142854,33.78181369054337,32.857142857142854,0.4166666666666667,6.831083982003096,33,0,2
2024-06-09,1,SKU_001,ultra_fresh,23.4,1,38,6,23,6,35.0,44.0,34.0,33.42857142857143,8.715066319448223,33.42857142857143,34.310578106754456,33.42857142857143,0.4166666666666667,6.831083982003096,33,0,5
2024-06-10,1,SKU_001,ultra_fresh,24.9,0,32,0,24,6,38.0,45.0,26.0,32.57142857142857,7.7428922859859535,32.57142857142857,29.08624882128505,32.57142857142857,0.4166666666666667,6.831083982003096,28,0,4
2024-06-11,1,SKU_001,ultra_fresh,20.3,0,18,1,24,6,32.0,28.0,24.0,30.714285714285715,5.498917642417927,30.714285714285715,26.510647115764005,30.714285714285715,0.4166666666666667,6.831083982003096,26,8,0
2024-06-12,1,SKU_001,ultra_fresh,18.7,0,28,2,24,6,18.0,24.0,21.0,29.285714285714285,7.3192505471139935,29.285714285714285,24.634152668193757,29.285714285714285,0.4166666666666667,6.831083982003096,24,0,4
2024-06-13,1,SKU_001,ultra_fresh,24.3,0,40,3,24,6,28.0,24.0,39.0,29.857142857142858,6.986381310057712,29.857142857142858,28.756288113968456,29.857142857142858,0.4166666666666667,6.831083982003096,28,0,12
2024-06-14,1,SKU_001,ultra_fresh,20.9,0,23,4,24,6,40.0,34.0,31.0,32.142857142857146,7.3581830055290816,32.142857142857146,28.78613649909953,32.142857142857146,0.4166666666666667,6.831083982003096,28,5,0
2024-06-15,1,SKU_001,ultra_fresh,17.6,1,19,5,24,6,23.0,35.0,31.0,30.571428571428573,8.03859736639717,30.571428571428573,30.2910191863533,30.571428571428573,0.4166666666666667,6.831083982003096,29,10,0
2024-06-16,1,SKU_001,ultra_fresh,23.2,1,34,6,24,6,19.0,38.0,44.0,28.285714285714285,8.807464366741913,28.285714285714285,31.35647181937485,28.285714285714285,0.4166666666666667,6.831083982003096,30,0,4
2024-06-17,1,SKU_001,ultra_fresh,22.8,0,28,0,25,6,34.0,32.0,45.0,27.714285714285715,8.179533110438632,27.714285714285715,27.366437970266627,27.714285714285715,0.4166666666666667,6.831083982003096,26,0,2
