date,store_id,sku_id,category,temperature,is_weekend,quantity
2024-01-01,1,SKU_001,ultra_fresh,18.7,0,20
2024-01-01,1,SKU_002,grocery,18.7,0,16
2024-01-01,1,SKU_003,bakery,18.7,0,25
2024-01-01,1,SKU_004,drinks,18.7,0,32
2024-01-01,1,SKU_005,drinks,18.7,0,34
2024-01-01,1,SKU_006,grocery,18.7,0,22
2024-01-01,1,SKU_007,ultra_fresh,18.7,0,31
2024-01-01,1,SKU_008,bakery,18.7,0,27
2024-01-01,1,SKU_009,ultra_fresh,18.7,0,26
2024-01-01,1,SKU_010,ultra_fresh,18.7,0,21
2024-01-01,1,SKU_011,bakery,18.7,0,20
2024-01-01,1,SKU_012,grocery,18.7,0,17
2024-01-01,2,SKU_001,ultra_fresh,18.7,0,27
2024-01-01,2,SKU_002,grocery,18.7,0,20
2024-01-01,2,SKU_003,bakery,18.7,0,29
2024-01-01,2,SKU_004,drinks,18.7,0,30
2024-01-01,2,SKU_005,drinks,18.7,0,39
2024-01-01,2,SKU_006,grocery,18.7,0,15
2024-01-01,2,SKU_007,ultra_fresh,18.7,0,21
2024-01-01,2,SKU_008,bakery,18.7,0,26
2024-01-01,2,SKU_009,ultra_fresh,18.7,0,32
2024-01-01,2,SKU_010,ultra_fresh,18.7,0,29
2024-01-01,2,SKU_011,bakery,18.7,0,17
2024-01-01,2,SKU_012,grocery,18.7,0,17
2024-01-01,3,SKU_001,ultra_fresh,18.7,0,29
2024-01-01,3,SKU_002,grocery,18.7,0,18
2024-01-01,3,SKU_003,bakery,18.7,0,19
2024-01-01,3,SKU_004,drinks,18.7,0,40
2024-01-01,3,SKU_005,drinks,18.7,0,21
2024-01-01,3,SKU_006,grocery,18.7,0,15
2024-01-01,3,SKU_007,ultra_fresh,18.7,0,28
2024-01-01,3,SKU_008,bakery,18.7,0,25
2024-01-01,3,SKU_009,ultra_fresh,18.7,0,32
2024-01-01,3,SKU_010,ultra_fresh,18.7,0,30
